reply,class,source
"@Minus777 @flightradar24 @isobelroe which seems to be the case.Constant descent, wind variations set aside..",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 Have you operated a flight mqnagement computer before? I used to test them. What FlightRadar24 is ahowing is changes made,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@flightradar24 any idea why it'd flight so high?  It's a short flight, usually planes go at ~ 33,000 feet",query,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe The data from the transponder made it obvious.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@flightradar24 But no emergency call made? Or emergency squawk? @isobelroe,query,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@Minus777 @marcepa49 @isobelroe For sure not, it was following exactly the same flight path as day before https://t.co/JoVKD5OHC0",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe Anyway. Have to wait and see now.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@flightradar24 Sounds like a decent of 2900fpm,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@flightradar24 Any ATC available? Strange.....,query,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 But that's the FMC, doesn't mean autopilot was engaged.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 what's the use of changing FMC if autopilot not engaged?,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 @flightradar24 @isobelroe If someone set the autopilot to fly it into the ground, the descent rate would have been constant.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe Look at the time on each line. The altitudes are requested not achieved.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe It turns out there was no distress call made. I'm almost certain this was a hi-jacking now.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe Sent Mayday through radio. I suppose he had other things to do than adjust the Squawk,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 @flightradar24 @isobelroe crash it deliberately, the whole industry needs a shake-up.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe It only takes a moment to enter 7700 into the transponder. I've worked on these systems before.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 @flightradar24 @isobelroe It looks like someone was flying it manually, all the way into the ground.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 The autopilot wasn't set to 100 feet. It was flown manually. FlightRadar24 has made that up.,support,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@janoschjerman @flightradar24 yes and no depends on other traffic, turbulence... they were 25 mins late so going higher = going quicker",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe I don't think the autopilot was engaged.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe Unless they became rapidly unconcious,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 @flightradar24 @isobelroe Only takes a second to set the squawk code,",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 @flightradar24 @isobelroe They're saying what I said, the crash was a deliberate act. Controlled flight all the way down.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@flightradar24 @Minus777 @marcepa49 @isobelroe Yep, it's follow exactly the route going down, that seems to suggest unconscious pilots.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
RT @flightradar24 #A320 #4U9525 initially climbed to 38k ft before starting to descend and lost signal at 6.8k ft http://t.co/LUWkDrBR9a,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@flightradar24 @marcepa49 @isobelroe What I'm saying is, I believe it was deliberately crashed. Being controlled all the way into the ground",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@marcepa49 the flight profile. That doesn't indicate that the autopilot was set to 100 feet. I've worked on these systems, tested them",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 It changes the flight profile and cuts out the warnings and some of the protection.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe and have operated them in sumulators. Also on actual flights when I've been in the flight deck.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@Minus777 @flightradar24 @isobelroe No, somebody had just initiated the descent, and might have been unconcious or dead just after that.",comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
"@flightradar24 isn’t 38,000ft unusually high?",query,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@marcepa49 @flightradar24 @isobelroe They're now saying the co-pilot deliberately crashed the plane.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @marcepa49 @flightradar24 @isobelroe yes but every second not spent trying to save everyone.....,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe That's what they say.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe What's the use when you're crashing?,query,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@Minus777 @flightradar24 @isobelroe Or autopilot. But sure deliberately set.,comment,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn"
@henkvaness Andreas Lubitz FB profile removed,comment,Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings
@henkvaness where did you hear that?,query,Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings
@henkvaness Source of info?,query,Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings
"@volkz_20 @NBCNews Ohhh man, terrible news for all the victims' families!",support,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
"@NBCNews @Mao_A_Moon damn, thats the airlines i normally use when going Germany bro.",comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
@NBCNews terrible situation...Let's pray to God to take control!,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
RT @NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/OaZWx4f6BZ http://t.co/q9wuZeMChj,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
“@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/T6uZaKHVgv http://t.co/6J9TqLwwea” sad sad day,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
“@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/kaBcS2rIfh http://t.co/3FSh7RHSDx” @drunkBills!!,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
#Breaking RT @NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/IKWmXRw9Sk http://t.co/sms8KtXxgX,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
Tragedy strikes again RT “@NBCNews: #Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/SSgQepeizR”,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
@NBCNews Praying for the families and friends of those involved in crash. I'm so sorry for your loss.,comment,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr
"@cobaltjacket @thatjohn @RunwayGirl Lots of radio protocol is French... Mayday is M'aidez. Urgence, pan-pan, ""see-lonce"" etc.",comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn @RAeSTimR Is that roughly equivalent to our 'Pan Pan' call it priority I assume?,support,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn is that unusual?,query,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn @Holbornlolz Mayday is a call for urgent assistance. (M'aidez). Not a lot of help for a plane hurtling towards the floor.,comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn @planefinder why would they say urgence in lieu of mayday which is standard ?,query,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn what are the implications of this? @RAeSTimR,query,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
"@Fedupwithclowns @thatjohn @RunwayGirl Roger. Just seems odd given most comms are in English. Doesn't make it wrong, of course.",comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@1CParsons @thatjohn No 'Pan Pan' call is universal,comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@RAeSTimR @thatjohn Ahh.. I was always taught it was a UK only thing; and having done only limited flying abroad never tested that!,comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
"@cobaltjacket @thatjohn @RunwayGirl Just historic. Also hard to confuse with other words, so clear for the listener.",comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn @RunwayGirl They made that call in French?,comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
@thatjohn @gerrylynch mayday is French!,comment,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525"
"“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/bHsin3DQ07”

Oh Jeez, no!!!",support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
I’m getting more skeptical of flying. RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/wuQfYMbNCP,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@dorome80 The worst :(,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
RT: @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/7XowawsXF7,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
Yikes :( RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/EZ4cgrQxie,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
"RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OzznStuYOu
#jwave #radiko",support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/VgscO5lmnw” @CLawtown @pruesiemsgluess,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@Granabanana Not to Amsterdam! Itl take too long.,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/Q46HFawSF1”,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
"@LoveNotH81 @verylastone Yes, it is. 😰 Sounds like there are no survivors.",comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/Gc5H6ZWyNb” 💔,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@verylastone @dorome80 😢 that's terrible,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
. @LoveNotH81 @dorome80 Just heard: No survivors 😥,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@BBCBreaking omg,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/5gDF9zIXEW,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@MissWitch2310 then don't panic. You can always sail if you like ;),comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@MissWitch2310 @BBCBreaking millions of flights happen everyday. This is only one.,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@LIVE_COVERAGE @MissWitch2310 @BBCBreaking I didn't mean millions literally ;) figure of speech,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
#BreakingNews “@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OYECGiYtfE” #BREAKING #planecrash,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@BBCBreaking @BBCNews @CharlieHorlock @max_kretzschmar,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/VyfwZhDhtc” another plane crash.. Oh God.,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/0RVUOUMD4z”,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
“@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/BS79EGOyEj” flying today and THIS is not what I see :/,deny,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/MBqXY968OZ,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@Granabanana I do know that!,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
#BBC says 142 passengers &amp; 6 crew @93wibc RT @BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/jA0QYbUXgO,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@verylastone @dorome80 my heart is with the loved ones 😞,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
"«ok,Good.:);)@Granabanana♦@MissWitch2310¤@BBCBreaking",comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@verylastone 😱😥 Horrible news.,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
RT “@BBCBreaking: Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/OJeJSNtgwv”,support,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@BBCBreaking awful news  :-(,comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
"«--thousands, not millions, of planes daily/globally; -- millions of daily flyers/passengers, yes).@Granabanana:]@MissWitch2310 @BBCBreaking",comment,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI
@thatjohn @AirlineReporter at what point during those 8 min did distress call go out?,query,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann."
@thatjohn @AirlineReporter Just over 4500 fpm average rate of descent...completely normal and would seem controlled...,comment,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann."
@AirSmolik @abundare78 would point to a cabin depressurisation,comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik descent rate is not that unusual.,comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik And apperently no turn to avoid terrain. Straight ahead into the mountains.,support,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik Only entered FL380 for a few mins prior too. So sad.,comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
"@AirSmolik EMERG DESC, set FL68, started descent and lost consciousness before able to set higher ALT? Seems likely...",comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik Im thinking structurql failure - qnd then depressure etc cockpit window etc ? Trqgique,support,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik my thoughts exactly. rate is not unusual but surely crew were aware of where they were &amp; terrain... this'll be interesting.,support,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
"@AirSmolik but at a controlled speed (unless readings were out), which makes it even more bizarre. I hope they find the real answers soon",comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AirSmolik pilots may have been suffering a Hypoxie,comment,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?
@AJENews @germanwings yes indeed :-(.,support,German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt
@AJENews @germanwings was the co-pilot Christian - since no ones calling this a terrorist act!,comment,German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt
"@damienramage @airlivenet Normal descend rate for A320 is 2500fpm. Now 4000fpm (for 8 minutes) which is much, but contrallable. #u4u9525",comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
"@damienramage yes, and they have a bottle behind them with this tube connected. But it looks very stupid LOL",comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @airlivenet true...,support,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @airlivenet what’s the exact procedure btw ? What altitude would you drop down to ? at which rate of descent ?,query,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@airlivenet @PollyR_Aviation So sad...prayers to the families and friends...,comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn that's just for the high,comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @damienramage With iced sensors it won't level off. Apparently a computer glitch - pilot would need to override system manually,comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
"@PascalSyn @airlivenet exactly. So emergency would be appropriate, for example in case of cabin decompression, right ?",query,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @airlivenet but isn’t declaring an emergency the proper procedure if you still have control of the situation ?,query,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
"I doubt any pilot would say 'Emergency', but rather 'Mayday' RT ""@airlivenet NEWS: 'Emergency Emergency' was the final distress call #4U9525",deny,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
"@damienramage @airlivenet immediately manual (autopilot off), throttle, oxygen masks + passngrs, radio call. All that in 20 seconds? #4U9525",comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
RT @airlivenet: NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation,comment,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
"@damienramage @airlivenet No, then you would say PANPAN. Trust me, I'm a pilot! Besides: Mayday is when lives are in danger...",deny,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @airlivenet or think you do ? or it hasn’t been assessed ?,query,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
@PascalSyn @damienramage @airlivenet What about icy sensors and software telling autopilot to dive as happened with AF447?,query,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation
